Sponsor Submitted Date,Proposal State,Principal Investigator,Last Name,First Name,Lead Department,Proposal Title,Prime Sponsor,Proposal Requested Total Amt,CO PI Name
8/5/2020,Not Funded,Cecilia Levy,Levy,Cecilia,010 Physics,CAREER: Development of a Supercooled Water Detectorto Search for Dark Matter,National Science Foundation,883672,
8/7/2020,Not Funded,Bryan Early,Early,Bryan,010 Center for Policy Research,Security and Strategic Trade Management Academy,US Department of State,1195229,
8/7/2020,Not Funded,Robert Worden,Worden,Robert,010 Center for Policy Research,Law Enforcement Training & Technical Assistance Response Center,US Department of Justice,398372,Gary Ackerman : Jayson Kratoville
8/10/2020,Not Funded,Christopher Thorncroft,Thorncroft,Christopher,010 Atmospheric Sciences Research Center,Assessment of Weather and Seasonality Impacts on SARS-CoV-2 Transmission: A Case Study of New York State and COVID-19,National Institutes of Health,2277549,Kara Sulia
8/10/2020,Not Funded,Douglas Conklin,Conklin,Douglas,010 Biomedical Science,Targeting BTK in Solid Tumor Drug Resistance and Metastasis,National Cancer Institute,1928882,Murat Yucel
8/10/2020,Not Funded,Kyoung-Yeol Kim,Kim,Kyoung-Yeol,010 Envir & Sust Engr,CAREER: Electrochemical resource recovery from wastewater using novel activated carbon membrane electrodes,National Science Foundation,536879,
8/10/2020,Not Funded,Mariola Moeyaert,Moeyaert,Mariola,010 Educational and Counseling Psychology,The Baby Play Program: Promoting Motor  Cognitive  and Language Outcomes for Preterm Infants through Parent Education,Institute of Education Sciences,124472,
8/10/2020,Not Funded,Qiang Zhang,Zhang,Qiang,010 Chemistry,CAREER: Studies towards site-specific peptide and protein modification,National Science Foundation,676460,
8/11/2020,Awarded,Amirreza Masoumzadeh-Tork,Masoumzadeh-Tork,Amirreza,010 Computer Science,CAREER: Black-Box Learning of Web Application Authorization Policies,National Science Foundation,574720,
8/11/2020,Awarded,Eric Hardiman,Hardiman,Eric,010 School of Social Welfare,Dean's Consortium of Schools of Social Work Evidence-based Practice in Mental Health Project 2020-2021,NYS Office of Mental Health,6200,
8/11/2020,Awarded,Gabriele Fuchs,Fuchs,Gabriele,010 Biology,Mechanism and Regulation of noncanonical translation initiation,National Science Foundation,998662,
8/11/2020,Awarded,Mark Kuniholm,Kuniholm,Mark,010 Epidemiology & Biostatistics,Central Africa International Epidemiologic Database to Evaluate AIDS (IeDEA),Albert Einstein College of Medicine,139230,
8/11/2020,Awarded,Shaghayegh Sahebi,Sahebi,Shaghayegh,010 Computer Science,CAREER: Time-Aware Multi-Objective Recommendation in Online Learning Environments,National Science Foundation,547706,
8/11/2020,Awarded,Theresa Pardo,Pardo,Theresa,010 Center for Technology in Government,Social Determinants of Health: Differential Impacts of the COVID-19 Pandemic in New York State,SUNY Central Administration,354634,
8/11/2020,Not Funded,Aveek Dutta,Dutta,Aveek,010 Electrical & Comp Engr,CAREER: From Predictable to Explainable Wireless Communication,National Science Foundation,553477,
8/11/2020,Not Funded,Chinwe Ekenna,Ekenna,Chinwe,010 Computer Science,CAREER: Towards a Low Cost Energy Saving Aerial Robot Technology: A Unified Motion Planning Perspective,National Science Foundation,607135,
8/11/2020,Not Funded,David Holtgrave,Holtgrave,David,010 Dean - School of Public Health,Mapping COVID-19 Communications and Policy Interventions for Ethnic Minorities in the United States,National Institutes of Health,204146,
8/11/2020,Not Funded,Dola Saha,Saha,Dola,010 Electrical & Comp Engr,CAREER: Learning to Secure Wireless Communication,National Science Foundation,550462,
8/11/2020,Not Funded,Yaoze Liu,Liu,Yaoze,010 Envir & Sust Engr,CAREER: The short-term and life cycle impacts of bioretention cells on hydrology and nutrients for sustainable urban stormwater management,National Science Foundation,601438,
8/12/2020,Awarded,Zawadi Rucks-Ahidiana,Rucks-Ahidiana,Zawadi,010 Sociology,Investigating Race and Gentrification,University of Wisconsin at Madison,20000,
8/12/2020,Not Funded,Fan Yang,Yang,Fan,010 Communication,CAREER: Understanding the Motivations in the Spread of Misinformation on Social Media,National Science Foundation,763813,
8/12/2020,Not Funded,Jeremy Feldblyum,Feldblyum,Jeremy,010 Chemistry,CAREER: Metallopolymers of Intrinsic Microporosity,National Science Foundation,768726,
8/12/2020,Not Funded,Justin Curry,Curry,Justin,010 Mathematics & Statistics,CAREER: Novel Topological Methods for TDA,National Science Foundation,571139,
8/14/2020,Not Funded,Christine Smith,Smith,Christine,010 Dean - School of Education,Impact of Incidents of Mass Violence on College Students' Secondary Traumatic Stress Symptoms  Perception of Threats  and Ability to Learn,National Science Foundation,753149,Kristie Saddler
8/14/2020,Not Funded,Tomoko Schaller,Schaller,Tomoko,Setup Business Group,Addiction and Public Health Online Course Creation,National Institutes of Health,77227,
8/17/2020,Awarded,Cuicui Chen,Chen,Cuicui,010 Economics,NSF-BSF: Collaborative Research: Market Conduct in Technology Adoption in the Automobile Industry,National Science Foundation,478145,
8/17/2020,Not Funded,Alandeon Oliveira,Oliveira,Alandeon,010 Educational Theory & Practice,BACKYARD WEATHER SCIENCE: A DATA INTENSIVE ONLINE ENVIRONMENT FOR NEXT GENERATION STEM TEACHING AND LEARNING,Institute of Education Sciences,1364689,Nathan Bain : Mir Mahmud : Thomas LaPorte : Junhong Wang : William O'Brien
8/17/2020,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,Alteration in Mitochondrial Dynamics in SARS-CoV-2 Induced Neuroinflammation,National Institute of Allergy & Infectious Disease,182781,
8/17/2020,Not Funded,Aubrey Hillman,Hillman,Aubrey,010 Atmospheric and Environmental Sciences,Collaborative Research: The Environmental Context Surrounding Mississippian Mound Abandonment in the Southeastern United States,National Science Foundation,239081,
8/17/2020,Not Funded,Jeremy Feldblyum,Feldblyum,Jeremy,010 Chemistry,Multifunctional Ferrocene-Based Polymer Semiconductors,Research Corporation for Science Advancement,100000,
8/17/2020,Not Funded,Jiping Liu,Liu,Jiping,010 Atmospheric and Environmental Sciences,REU Site: Research Experiences for Undergraduates in Greenland,National Science Foundation,37542,
8/17/2020,Not Funded,Ting Wang,Wang,Ting,010 Chemistry,CAREER: Acridinium salts for photoacid catalysis,National Science Foundation,610596,
8/17/2020,Not Funded,Walter Little,Little,Walter,010 Anthropology,Doctoral Dissertation Research: Ethnography of Contemporary Weaving Practices in the United States,National Science Foundation,3935,Kaori Chen
8/18/2020,Not Funded,Youqin Huang,Huang,Youqin,010 Geography & Planning,Mobility Restriction and Spatial Disparities in COVID-19 Pandemic: A Comparative Study of New York City and San Francisco,National Science Foundation,349766,Rui Li
8/19/2020,Not Funded,Peter Shea,Shea,Peter,010 Educational Theory & Practice,Student Achievement  Progress  Persistence  and Success in Higher Education in the Pandemic: An Inter-institutional Investigation,Institute of Education Sciences,1698364,Mariola Moeyaert
8/24/2020,Not Funded,Kristen Wilcox,Wilcox,Kristen,010 Educational Theory & Practice,Discovering Networked Rural Schools' Adaptations  Improvements  and Innovations in the Context of the COVID-19 Pandemic,American Educational Research Association,5000,
8/25/2020,Awarded,Heidi Andrade,Andrade,Heidi,010 Educational and Counseling Psychology,Examining the Efficacy  Predictive Power  and Cost Effectiveness of the Diagnostic Assessment and Achievement of College Skills (DAACS),Institute of Education Sciences,1007225,
8/26/2020,Not Funded,Mohammed Agamy,Agamy,Mohammed,010 Electrical & Comp Engr,Efficient High Frequency Driver for Electromagnetic Heating,US Department of Energy,834792,
8/27/2020,Awarded,Deborah Kundert,Kundert,Deborah,010 Educational and Counseling Psychology,Center School Psychology Training Support 2020-21,Center for Disability Services,13800,
8/27/2020,Not Funded,John Berglund,Berglund,John,010 Biology,REU Site: Summer research at the University at Albany RNA Institute,National Science Foundation,399117,Shanise Kent
8/27/2020,Not Funded,Kristie Saddler,Saddler,Kristie,010 Special Education,Effects of the involuntary transition to remote learning in response to the COVID-19 pandemic on post-secondary students with disabilities,Cisco Systems Incorporated,21847,Christine Smith
8/27/2020,Not Funded,Sanjay Goel,Goel,Sanjay,010 FACETS,SaTC: CORE: SMALL: Habits vs Decisions: Understanding and Managing Security Behaviors and Stress,National Science Foundation,497078,Kevin Williams
8/28/2020,Not Funded,Erin Bell,Bell,Erin,010 Environmental Health Sciences,NYS Multi-Site Study of the Health Implications of Exposure to PFAS-Contaminated Drinking Water (Award TS000303) - supplement,Centers for Disease Control and Prevention,200000,
8/31/2020,Not Funded,ArunRichard Chandrasekaran,Chandrasekaran,ArunRichard,010 The RNA Institute,Multifunctional DNA Nanostructures for Site-specific Drug Delivery,PhRMA Foundation,100000,
8/31/2020,Not Funded,Maksim Royzen,Royzen,Maksim,010 Chemistry,Improved biomaterials for in vivo drug release using the local capture and activation therapy (LCAT) platform.,National Institutes of Health,59550,
9/2/2020,Awarded,Dina Refki,Refki,Dina,010 Center for Women in Government & Civil Society,Fellowship on Women & Public Policy 20-21,New York State Coalition Against Sexual Assault,30000,
9/2/2020,Not Funded,Kaalak Reddy,Reddy,Kaalak,010 Biology,A CTG repeat-selective druggale genome screen for myotonic dystrophy,PhRMA Foundation,100000,
9/2/2020,Not Funded,Mustafa Aksoy,Aksoy,Mustafa,010 Electrical & Comp Engr,Active/Passive Microwave Sensing of Near Surface Ice in the Lunar Regolith,NASA Headquarters,292585,
9/3/2020,Awarded,Eugene Monaco,Monaco,Eugene,010 Professional Development Program,Preschool Development Birth to 5 Scholarship Program,Department of Health and Human Services,2250000,
9/3/2020,Awarded,Igor Lednev,Lednev,Igor,010 Chemistry,Body fluid identification for forensic purposes using Raman spectroscopy,National Science Foundation,135000,
9/3/2020,Not Funded,Jia Sheng,Sheng,Jia,010 Chemistry,Development of A Self-driving AI Drug Discovery System,National Science Foundation,49976,
9/8/2020,Awarded,Mary McCarthy,McCarthy,Mary,010 School of Social Welfare,ST07 Social Work Education Consortium 2021,Department of Health and Human Services,350000,
9/8/2020,Not Funded,Shao Lin,Lin,Shao,010 Environmental Health Sciences,Assess and Model the Health Effects  Population  and Infrastructural Vulnerabilities of Power Outage,National Institutes of Health,1016706,Benjamin Shaw : DeeDee Bennett : Samantha Penta : Alex Greer
9/9/2020,Awarded,Tse-Chuan Yang,Yang,Tse-Chuan,010 Sociology,Exploring the relationship between Medicare-Medicaid dual-eligibility and opioid use disorder among  older adults living in rural America,National Institutes of Health,10761,Benjamin Shaw
9/10/2020,Not Funded,Christopher Thorncroft,Thorncroft,Christopher,010 Atmospheric Sciences Research Center,(COVID SEED) Exploring the Weather Impact on COVID-19 Transmission in NY State Using NYS Mesonet data,Research Foundation for The State University of New York,7500,Jerald Brotzge : Jeffrey Freedman
9/11/2020,Awarded,Leonard Behr,Behr,Leonard,010 University in High School,Upstate NY JSHS 2021,National Science Teachers Association,21581,
9/15/2020,Not Funded,Chinwe Ekenna,Ekenna,Chinwe,010 Computer Science,Sloan Foundation Fellowship,Alfred P Sloan Foundation,75000,
9/15/2020,Not Funded,Jeffrey Freedman,Freedman,Jeffrey,010 Atmospheric Sciences Research Center,An Offshore Wind Resource Measurement and Modeling Campaign for the Mid-Atlantic and Northeast US Coastal Waters,US Department of Energy,9996842,David Fitzjarrald : Scott Miller
9/15/2020,Not Funded,Kenneth Halvorsen,Halvorsen,Kenneth,010 The RNA Institute,Programmable DNA nanoswitches for multi-analyte quantification of cancer biomarkers,National Institutes of Health,675854,
9/16/2020,Not Funded,Gerald Marschke,Marschke,Gerald,010 Economics,Using the Science of Science to Document and Accelerate Progress in Treating Alzheimer's Disease,National Institutes of Health,205825,
9/17/2020,Awarded,Bryan Early,Early,Bryan,010 Center for Policy Research,Strategic Trade Control Summer Fellows Program,US Department of Energy,639152,
9/17/2020,Awarded,Camille Barnes,Barnes,Camille,010 Center for Human Services Research,System of Care Data Project,NYS Conference of Local Mental Hygiene Directors,111858,Margaret Gullick
9/17/2020,Awarded,Chris Papas,Papas,Chris,010 Center for Human Services Research,On-Line Michigan Licenses Contract One,Michigan Public Health Institute,25000,Rose Greene
9/17/2020,Awarded,Chris Papas,Papas,Chris,010 Center for Human Services Research,On-Line Michigan Licenses Contract Two,Michigan Public Health Institute,15000,Rose Greene
9/17/2020,Awarded,Karen Flynn,Flynn,Karen,010 Center for Human Services Research,Kinship Navigator System of Care Evaluation,Administration for Children and Families,100000,Rose Greene
9/17/2020,Awarded,Rose Greene,Greene,Rose,010 Center for Human Services Research,Data Management and Evaluation of Prevention Programs,Department of Health and Human Services,125000,
9/17/2020,Awarded,Rose Greene,Greene,Rose,010 Center for Human Services Research,Evaluation of New York State's Home Visiting Program,Department of Health and Human Services,1791065,Margaret Gullick
9/17/2020,Awarded,Rose Greene,Greene,Rose,010 Center for Human Services Research,National Youth in Transition Database,Department of Health and Human Services,292096,
9/17/2020,Not Funded,Justin Pickett,Pickett,Justin,010 Hindelang Criminal Justice Research Center,Personal and Altruistic Fear of Police,National Science Foundation,58274,
9/18/2020,Awarded,Aubrey Hillman,Hillman,Aubrey,010 Atmospheric and Environmental Sciences,Developing Records of Hydroclimate Variability in the Southeastern United States from the Middle Holocene to Present-Day,National Science Foundation,512889,
9/18/2020,Not Funded,Michael Bloom,Bloom,Michael,010 Environmental Health Sciences,Racial Disparities Associated with Maternal Exposure to Environmental Endocrine Disrupting Compounds in a Southeastern U.S. Community,National Institutes of Health,426035,Edward Valachovic
9/18/2020,Not Funded,Yiming Ying,Ying,Yiming,010 Mathematics & Statistics,Advancing theory and algorithms for learning with nonstandard performance metrics,Simons Foundation,95255,
9/21/2020,Awarded,Lani Jones,Jones,Lani,010 School of Social Welfare,Liberty Partnerships Rising Stars Program 2020-2021,NYS Education Department,375000,
9/21/2020,Awarded,Subodh Mishra,Mishra,Subodh,010 The RNA Institute,Dietary compounds as potential therapeutics for myotonic dystrophy,Myotonic Dystrophy Foundation,105000,
9/21/2020,Not Funded,Erin Bell,Bell,Erin,010 Environmental Health Sciences,Identifying prognostic biosignatures for childhood SARS-CoV2 Infection and MISC,National Institutes of Health,27682,
9/21/2020,Not Funded,JoEllen Welsh,Welsh,JoEllen,010 Environmental Health Sciences,Impact of dietary forms of vitamin K on breast cancer: pre-clinical and mechanistic studies.,Department of Defense (CDMRP),771181,Qishan Lin
9/21/2020,Not Funded,Sridar Chittur,Chittur,Sridar,010 Center for Functional Genomics,Companion Diagnostic Signature for AFPep facilitates Personalized Treatment of Breast Cancer,Department of Defense (CDMRP),656515,Qishan Lin
9/22/2020,Awarded,Dawn Bleyenburg,Bleyenburg,Dawn,010 SPH Continuing Education,CE for DOH Fluoridation webinars,Health Research Inc,36622,
9/22/2020,Not Funded,Elizabeth Vasquez,Vasquez,Elizabeth,010 Epidemiology & Biostatistics,Understanding Racial/Ethnic Disparities in Preventive Care Utilization among Older Adults through Adaptive Web Respondent Driven Sampling and Multiple Frame Estimation,National Institute on Minority Health & Health Disparities,82057,
9/22/2020,Not Funded,Jennifer Goodall,Goodall,Jennifer,010 Dean's Office - CEHC,JEDI Albany,Pivotal Ventures,9999999,
9/23/2020,Awarded,Justin Minder,Minder,Justin,010 Atmospheric and Environmental Sciences,Collaborative Research: WINTRE-MIX:  Winter Precipitation Type Research Multi-scale Experiment,National Science Foundation,1319548,Nicholas Bassill
9/23/2020,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,Real-time Apoptosome Dynamics in Methamphetamine Induced Neurotoxicity,National Science Foundation,719883,
9/28/2020,Awarded,Alex Greer,Greer,Alex,010 Emergency Management,RAPID: Understanding Evacuation  Sheltering  and Reentry decisions during the Dual Threat of Hurricane and the COVID-19 Pandemic,University of North Texas,2317,
9/28/2020,Awarded,Won Namgoong,Namgoong,Won,010 Electrical & Comp Engr,Receiver Design for Close-In Phase Noise and Reciprocal Mixing Compensation,National Science Foundation,390285,
9/28/2020,Not Funded,Fangqun Yu,Yu,Fangqun,010 Atmospheric Sciences Research Center,Using NASA campaign data and GEOS-Chem model to study cloud condensation nuclei variations and implications for aerosol climate forcing,NASA Earth Science Enterprise,598738,Gan Luo
9/29/2020,Not Funded,Rongwei Yang,Yang,Rongwei,010 Mathematics & Statistics,Joint spectrum and group representations,National Science Foundation,353134,
9/30/2020,Awarded,Sheila Bernard,Bernard,Sheila,010 History,Building the  Study of History into Professional Programs at a Public University,National Endowment for the Humanities,34890,Eric Stern
10/1/2020,Awarded,Alex Valm,Valm,Alex,010 Biology,Oral microbial community structure and assembly: from molecule to microbiome,National Institutes of Health,1882063,
10/1/2020,Awarded,Cheryl Andam,Andam,Cheryl,010 Biology,CAREER: Unraveling the origins of genomic heterogeneity in microbial species and populations,National Science Foundation,1071882,
10/1/2020,Not Funded,Jia Sheng,Sheng,Jia,010 Chemistry,Uncovering RNA Phosphorothioate Backbone Modification in Prokaryotes and Eukaryotes,National Institute of General Medical Sciences,1883159,
10/1/2020,Not Funded,Jia Sheng,Sheng,Jia,010 The RNA Institute,Construction of Multifunctional DNA Nanostructures for Drug Delivery,National Cancer Institute,616974,ArunRichard Chandrasekaran : Kenneth Halvorsen
10/2/2020,Awarded,Cheryl Andam,Andam,Cheryl,010 Biology,Population and evolutionary dynamics of recombining genes and alleles in bacteria,National Institutes of Health,1515980,
10/2/2020,Not Funded,Kristen Wilcox,Wilcox,Kristen,010 Educational Policy & Leadership,Optimizing the Effectiveness of Teacher Professional Development for Mathematical Discourse in Algebra Project Classrooms,National Science Foundation,270776,
10/2/2020,Not Funded,Ting Wang,Wang,Ting,010 Chemistry,Photo Bronsted Acid and Photo Lewis Acid Catalysis for Organic Synthesis,National Institutes of Health,1836780,
10/5/2020,Not Funded,Christine Smith,Smith,Christine,010 Dean - School of Education,Decentralized Professional Development: A Socio-Ecological Quest for Innovation and Change,National Science Foundation,238529,
10/5/2020,Not Funded,Haijun Chen,Chen,Haijun,010 Biology,Roles of K2P1 channels in cardiac arrhythmias under hypokalemia,National Institutes of Health,1521037,
10/5/2020,Not Funded,Mustafa Aksoy,Aksoy,Mustafa,010 Electrical & Comp Engr, Intelligent Radio Frequency Interference Detection and Mitigation for Passive Microwave Remote Sensing of the Earth,NASA Headquarters,373538,
10/6/2020,Not Funded,Oliver Elison Timm,Elison Timm,Oliver,010 Atmospheric and Environmental Sciences,Modeling the influence of temperature on the evolution of abovirus transmission dynamics,National Science Foundation,99259,
10/8/2020,Awarded,DeeDee Bennett,Bennett,DeeDee,010 Emergency Management,Large-scale CoPe: Megalopolitan Coastal Transformation Hub (MACH),National Science Foundation,501550,
10/8/2020,Awarded,Eric Stern,Stern,Eric,010 Dean's Office - CEHC,Climate Solutions Acceleration Fund - ACER,Second Nature,9598,
10/8/2020,Awarded,Gary Ackerman,Ackerman,Gary,010 Center for Advanced Red Teaming,SMA: Integration of Information in Joint Operations,Department of Defense (CDMRP),120371,
10/8/2020,Awarded,Jeannette Sutton,Sutton,Jeannette,010 Dean's Office - CEHC,Public Response to the 2019 Searles Valley Earthquake Sequence and Shake Alert,National Science Foundation,94634,
10/8/2020,Awarded,Zai Liang,Liang,Zai,010 Sociology,Global Health Crisis and International Students in China,Chiang Ching-Kuo Foundation for International Scholarly Exchange,36921,
10/8/2020,Not Funded,Changlong Zhong,Zhong,Changlong,010 Mathematics & Statistics,Hecke algebra and algebraic cobordism of flag varieties,National Science Foundation,138668,
10/8/2020,Not Funded,DeeDee Bennett,Bennett,DeeDee,010 Emergency Management,NIH: PReparing Older Adults: Communicating risk in Virtual Environments (PRO-ACTIVE),National Institutes of Health,2629496,Xiaojun Yuan
10/8/2020,Not Funded,Yaoze Liu,Liu,Yaoze,010 Envir & Sust Engr,Farmer-driven cost-effective conservation practices for improving water quality,Environmental Protection Agency,220764,
10/9/2020,Awarded,Benjamin Shaw,Shaw,Benjamin,Setup Business Group,Center for Aging and Policy Studies - Alzheimer's Disease,National Institutes of Health,56461,Tse-Chuan Yang
10/9/2020,Awarded,Stephen Holt,Holt,Stephen,010 Center for Policy Research,Understanding and supporting mental health in our nation's schools,Spencer Foundation,4200,
10/13/2020,Awarded,David Holtgrave,Holtgrave,David,010 Biomedical Science,GRA 6534-01 Tolman - Post Exposure Immunotherapy for Ricin,ZabBio,21032,
10/14/2020,Not Funded,Chun-Yu Ho,Ho,Chun-Yu,010 Economics,EFFECT OF LOSING HOSPITAL-BASED OBSTETRIC SERVICES   ON MATERNAL HEALTH IN RURAL COMMUNITIES,National Institutes of Health,153450,Pinka Chatterji
10/14/2020,Not Funded,David Carpenter,Carpenter,David,010 Environmental Health Sciences,Redox-associated biosignatures of age and environment affecting Native Americans.,National Institutes of Health,2985564,Mia Gallo
10/14/2020,Not Funded,Qiang Zhang,Zhang,Qiang,010 Chemistry,Studies toward glycosylation of peptide and protein using convergent synthesis strategy,National Science Foundation,507179,
10/14/2020,Not Funded,Rixiang Huang,Huang,Rixiang,010 Envir & Sust Engr,Exploring the role of minerals in thermochemical transformation of sulfur during kerogen maturation,American Chemical Society,110000,
10/15/2020,Not Funded,Maksim Royzen,Royzen,Maksim,010 Chemistry,Synthesis of long RNA oligonucleotides containing naturally occurring modifications and structural investigation of their properties.,National Science Foundation,445295,Jia Sheng
10/16/2020,Awarded,Igor Lednev,Lednev,Igor,010 Chemistry,Multivariate Analysis of Vibrational Spectroscopic Data for Cannabis and Seized Drugs,National Institute of Standards and Technology,105060,
10/16/2020,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,NSF-BSF: Novel Optical Markers for Grading Bladder Tissues,National Science Foundation,598571,Yunlong Feng
10/16/2020,Not Funded,Bijan Dey,Dey,Bijan,010 The RNA Institute,Epitranscriptomic regulation of microRNA biogenesis in skeletal muscle stem cell aging,National Institutes of Health,154500,
10/16/2020,Not Funded,Edward Valachovic,Valachovic,Edward,010 Epidemiology & Biostatistics,"The PErfluoroalkyl substances in Assisted Reproduction (PEAR) Study""",National Institutes of Health,30702,
10/16/2020,Not Funded,Ernesto Tejedor Vargas,Tejedor Vargas,Ernesto,010 Atmospheric and Environmental Sciences,Collaborative Research: Tracking global temperature and hydroclimate impacts of volcanic eruptions in paleo data assimilation products and climate model simulations,National Science Foundation,191525,Mathias Vuille
10/16/2020,Not Funded,Gabriele Fuchs,Fuchs,Gabriele,010 Biology,Chemical synthesis of modified mRNAs and tRNAs and their application in in vitro translation.,National Institutes of Health,421749,Maksim Royzen
10/16/2020,Not Funded,John Berglund,Berglund,John,010 The RNA Institute,Myotonic Dystrophy Therapeutic Accelerator,National Institutes of Health,2591804,
10/16/2020,Not Funded,John Welch,Welch,John,010 Chemistry,Catalytic uranyl dication redoxphotochemistry: New approaches to slective C-H  functionalization,American Chemical Society,110000,
10/16/2020,Not Funded,John Welch,Welch,John,010 Chemistry,Tetrafluoro-?6-sulfane (-SF4-) Chemistry: Chemical Reactivity  and Polar Hydrophobicity,National Science Foundation,475115,
10/19/2020,Not Funded,Cheng-Hsuan Lu,Lu,Cheng-Hsuan,010 Atmospheric Sciences Research Center,An observational and modeling study of coastal circulation and its impacts on air quality in NYC metro area,NOAA Climate Program Office,320145,Jeffrey Freedman : Scott Miller : Md Aynul Bari
10/19/2020,Not Funded,Gabriel Schlomer,Schlomer,Gabriel,010 Educational and Counseling Psychology,Gene  Environment  and Epigenetic Etiology of Pubertal Development,National Institutes of Health,314931,
10/19/2020,Not Funded,James Schwab,Schwab,James,010 Atmospheric Sciences Research Center,Mobile Laboratory Measurements and Ozonesonde Launches in Support of AEROMMA 2021,National Oceanic and Atmospheric Administration,430400,
10/19/2020,Not Funded,Lisa McAndrew,McAndrew,Lisa,010 Educational and Counseling Psychology,Risk Communication to Prevent COVID-19 for older adults with chronic illness,National Institutes of Health,417164,Jennifer Manganello
10/20/2020,Awarded,Mathias Vuille,Vuille,Mathias,010 Atmospheric and Environmental Sciences,Collaborative Research: Quantitative reconstructions of last millennium hydroclimate and temperature from the tropical high Andes,National Science Foundation,95900,
10/20/2020,Awarded,Robert Martiniano,Martiniano,Robert,010 Center for Health Workforce Studies,Hawaii Area Health Education Center (AHEC) Community Needs Assessment Training,RCUH Research Corporation of the University of Hawaii,5000,
10/20/2020,Not Funded,Aubrey Hillman,Hillman,Aubrey,010 Atmospheric and Environmental Sciences,Lake sediment records from India and China help constrain longitudinal boundary shifts of the Indian and East Asian Monsoons through the middle Holocene,National Science Foundation,199994,
10/20/2020,Not Funded,Leonard Behr,Behr,Leonard,010 University in High School,Bridge to College:  Network of Support for Students,US Department of Education,1450318,Christine Smith : Matthew Ingram
10/21/2020,Not Funded,Kevin Williams,Williams,Kevin,010 The Graduate School,NSF Graduate Research Fellowship Program 2021 (McNeil),National Science Foundation,46000,
10/21/2020,Not Funded,Qishan Lin,Lin,Qishan,010 The RNA Institute,Collagen subtype dictates tumor metabolic phenotype,National Institutes of Health,176066,
10/23/2020,Awarded,Kristin Christodulu,Christodulu,Kristin,010 Center for Autism and Related Disabilities,OPWDD Family Support Services 2021,NYS Office For People with Dev Disabilities,61419,
10/23/2020,Not Funded,Chinwe Ekenna,Ekenna,Chinwe,010 Computer Science,Improved Planning Algorithms towards Long-Term Autonomy for Aerial Robots,Amazon.com,80000,
10/23/2020,Not Funded,Kevin Williams,Williams,Kevin,010 The Graduate School,NSF Graduate Research Fellowship Program 2021 (Kaminski),National Science Foundation,46000,
10/26/2020,Not Funded,Boris Goldfarb,Goldfarb,Boris,010 Mathematics & Statistics,Equivariant Stable Homotopy and Algebraic K-theory of Group Rings,National Science Foundation,145030,
10/27/2020,Awarded,Paul Roundy,Roundy,Paul,010 Atmospheric and Environmental Sciences,How Atmospheric Synoptic Kelvin Waves Influence the Propagation of the MJO,National Science Foundation,488466,
10/28/2020,Awarded,Carolyn MacDonald,MacDonald,Carolyn,010 Physics,Phase II NANO 3D PRINTING OF CAPILLARY OPTICS,US Department of Energy,29999,
10/28/2020,Awarded,Carolyn MacDonald,MacDonald,Carolyn,010 Physics,Resubmission Focused kV X-ray Modulated Conformal Radiotherapy for Small Targets,National Institutes of Health,51000,
10/28/2020,Awarded,John Berglund,Berglund,John,010 Biology,Mechanism of action of small molecule therapeutics for myotonic dystrophy type 1,University of Rochester,174781,
10/29/2020,Not Funded,Alex Valm,Valm,Alex,010 Biology,REGULATION OF SURFACE PROTEIN PRESENTATION ON STREPTOCOCCUS GORDONII,National Institutes of Health,283709,
10/30/2020,Not Funded,Dola Saha,Saha,Dola,010 Electrical & Comp Engr,ORACLE: Optimized Resource Allocation for the Classification of Latent Emissions,Intelligence Advanced Research Projects Activity (IARPA),987952,
11/2/2020,Awarded,Tomoko Schaller,Schaller,Tomoko,Setup Business Group,Hope Not Handcuffs - Hudson Valley  a pre-arrest diversion program for persons who use drugs,Office of National Drug Control Policy,290450,
11/2/2020,Not Funded,Abebe Rorissa,Rorissa,Abebe,010 Information Studies,An investigation into the nature and extent of the cybersecurity skills gap,Spencer Foundation,49696,Unal Tatar : Lijun Ni
11/2/2020,Not Funded,Annalisa Scimemi,Scimemi,Annalisa,010 Biology,Human stem cell and multiomics multiregion CNS mapping of Ab-42 response,National Institutes of Health,321766,
11/3/2020,Awarded,Justin Minder,Minder,Justin,010 Atmospheric and Environmental Sciences,UAlbany profiling radar and distrometer observations in support of IMPACTS,NASA Shared Services Center,30220,
11/3/2020,Not Funded,Thomas Begley,Begley,Thomas,010 Biology,An Enhanced Epitranscriptomic Analysis Pipeline for the Study of Myotonic Dystrophy Type 1,National Institutes of Health,3821950,Jia Sheng : John Cleary : John Berglund
11/5/2020,Not Funded,Damian Zuloaga,Zuloaga,Damian,010 Psychology,Corticotropin releasing factor receptor 1 regulation of postpartum stress-related functions,National Institutes of Health,1882188,Joanna Workman : Andrew Poulos
11/6/2020,Not Funded,Benjamin Schweinhart,Schweinhart,Benjamin,010 Mathematics & Statistics,Collaborative Research: QRM: Metrics on Microstructures for Additive Manufacturing,National Science Foundation,275890,
